日付,商品名,合計金額
2020/4/3,12195,AZ-Aibecy【Creality 3D】強化ガラス ホットベッド 3Dプリンター用 プラットフォームシート/ヒートベッドビルドシート 235x235mm Ender-3用/PRILINE 3Dプリンター用 PLAフィラメント【1kg 1.75mm】直径精度+/- 0.03mm、ホワイト
2020/4/14,3491,AZ-エンジニア 精密圧着ペンチ オープンバレル端子用 PA-09
2020/4/17,3920,AZ-トネ(TONE) スパナセット DS700P 内容7点 レッド
2020/4/17,7580,AZ-3Dプリンター用 フィラメント PLA樹脂 1.75mm 1Kg ノズル詰まり軽減機能搭載(ホワイト)/cheero 3D 高精度 無臭 無害 PLA フィラメント 白 Φ1.75 1kg (約300m)
2020/4/19,6320,AZ-MARUFANG スケートボード スケボー ソフトウィール 硬さSHR 95-100A 反発係数80% 52*30mm 4個セット (ブラック)
2020/4/21,2600,AZ-PU製 スケートボードホイール ダブルロッカースケートボードホイール 硬さSHR-100A 反発係数60％ 52 * 30mm 4個セッ
2020/4/23,609,AZ-LOCTITE(ロックタイト) ねじロック 243 中強度タイプ 10ml LNR-243
2020/4/23,2600,AZ-PU製 スケートボードホイール ダブルロッカースケートボードホイール 硬さSHR-100A 反発係数60％ 52 * 30mm 4個セッ
2020/4/28,25870,AZ-VERSOS 25L冷温庫 ブラック VS-404/Elitech RC-4HC 湿度温度データロガー 16000記録点数 高精度温湿計 温湿度記録計 外付けセンサー [並行輸入品]/VERSOS 25L冷温庫 ブラック VS-404
2020/4/28,4780,AZ-温湿度データロガー ミニ温湿度記録計 GSP-6大型液晶表示 外部センサーで温度/湿度を高精度記録 小型軽量 記憶容量16000ポイント USB転送 アラーム機能 Win/Mac対応 各種温度/湿度管理用
