注文日,注文番号,商品名,付帯情報,価格,個数,商品小計,注文合計,,状態,,請求額,クレカ請求日,クレカ請求額,クレカ種類,注文概要URL,領収書URL,商品URL
2020/4/3,1111111,（注文全体）,,,,,12605,,,,12195,,,,,,
2020/4/3,1111111,Aibecy【Creality 3D】強化ガラス ホットベッド 3Dプリンター用 プラットフォームシート/ヒートベッドビルドシート 235x235mm Ender-3用,販売： Rostars   コンディション： 新品,2999,1,2999,,,2020年4月7日に発送済み,,,,,,,,
2020/4/3,1111111,PRILINE 3Dプリンター用 PLAフィラメント【1kg 1.75mm】直径精度+/- 0.03mm、ホワイト,販売： Feilemeng Filament   コンディション： 新品,2299,4,9196,,,2020年4月7日に発送済み,,,,,,,,
2020/4/3,1111111,（クレジットカードへの請求）,,,,,,,,,,2020/4/7,9196,,,,
2020/4/3,1111111,（クレジットカードへの請求）,,,,,,,,,,2020/4/7,2999,,,,
2020/4/3,1111111,（配送料・手数料）,※（注文全体）注文合計に反映,,,410,,,,,,,,,,,
2020/4/3,1111111,（割引）,※（注文全体）請求額に反映,,,,-410,,,,,,,,,,
2020/4/14,1111111,（注文全体）,,,,,3491,,,,3491,,,,,,
2020/4/14,1111111,エンジニア 精密圧着ペンチ オープンバレル端子用 PA-09,販売： アマゾンジャパン合同会社  コンディション： 新品,3491,1,3491,,,2020年4月15日に発送済み,,,,,,,,
2020/4/14,1111111,（クレジットカードへの請求）,,,,,,,,,,2020/4/15,3491,,,,
2020/4/17,1111111,（注文全体）,,,,,3920,,,,3920,,,,,,
2020/4/17,1111111,トネ(TONE) スパナセット DS700P 内容7点 レッド,販売： アマゾンジャパン合同会社  コンディション： 新品,3920,1,3920,,,2020年4月19日に発送済み,,,,,,,,
2020/4/17,1111111,（クレジットカードへの請求）,,,,,,,,,,2020/4/19,3920,,,,
2020/4/17,1111111,（クレジットカードへの請求）,,,,,,,,,,2020/4/19,3920,,,,
2020/4/17,1111111,（注文全体）,,,,,7780,,,,7580,,,,,,
2020/4/17,1111111,3Dプリンター用 フィラメント PLA樹脂 1.75mm 1Kg ノズル詰まり軽減機能搭載(ホワイト),販売： ピーチクローバー   コンディション： 新品 真空パック包装。即日出荷です。,1890,2,7780,,,2020年4月19日に発送済み,,,,,,,,
2020/4/17,1111111,cheero 3D 高精度 無臭 無害 PLA フィラメント 白 Φ1.75 1kg (約300m),販売： cheero mart   コンディション： 新品,2000,2,,,,2020年4月19日に発送済み,,,,,,,,
2020/4/17,1111111,（クレジットカードへの請求）,,,,,,,,,,2020/4/19,7580,,,,
2020/4/17,1111111,（割引）,※（注文全体）請求額に反映,,,,-200,,,,,,,,,,
2020/4/19,1111111,（注文全体）,,,,,6320,,,,6320,,,,,,
